Designator,Mid X,Mid Y,Layer,Rotation
C1,69.385,-56.865,top,90
C2,70.865,-59.345,top,-90
C3,78.585,-52.455,top,-90
C4,63.475,-60.895,top,180
C5,93.925,-57.525,top,-90
C6,68.14,-63.26,top,-90
C7,63.475,-59.945,top,180
C8,75.715,-65.515,top,0
C9,81.195,-61.105,top,0
C10,79.925,-59.445,top,-90
C11,85.855,-56.72,top,-90
C12,88.165,-58.955,top,0
C13,82.105,-57.385,top,180
C14,63.465,-58.985,top,180
C16,88.185,-61.725,top,0
C17,93.955,-61.605,top,90
C18,88.185,-60.785,top,0
D1,57.67,-65,top,90
D2,57.7,-55,top,90
D3,75.44,-68.35,top,0
D4,75.18,-52.835,top,0
D5,62.535,-56.275,top,90
D6,62.535,-66.275,top,90
J1,100.075,-60.025,top,-90
Q1,68.19,-66.57,top,0
Q2,84.395,-60.875,top,0
R1,70.945,-56.875,top,90
R2,70.865,-63.225,top,-90
R3,70.875,-61.325,top,-90
R4,81.125,-63.965,top,0
R5,81.185,-62.795,top,0
R6,84.46,-64.635,top,180
R7,84.14,-58.46,top,180
R8,70.825,-66.405,top,90
R9,59.93,-60.94,top,0
R11,59.915,-59.945,top,0
R12,71.835,-66.395,top,90
R13,78.225,-68.435,top,0
R14,68.731,-60.627,top,0
R15,68.675,-61.675,top,0
R16,80.225,-57.445,top,90
R17,82.095,-58.485,top,180
R18,84.37,-56.295,top,180
U1,75.625,-60,top,0
U2,91.265,-57.995,top,0
U4,91.285,-61.765,top,0
