Ref,Val,Package,PosX,PosY,Rot,Side
"C1","18pF","C_0402_1005Metric",127.085000,-56.515000,180.000000,top
"C2","18pF","C_0402_1005Metric",126.985000,-61.545000,0.000000,top
"C3","2.2u","C_0402_1005Metric",84.005000,-61.315000,-90.000000,top
"C4","22u","C_0805_2012Metric",127.065000,-52.145000,0.000000,top
"C5","100n","C_0402_1005Metric",127.115000,-53.875000,0.000000,top
"C6","22u","C_0805_2012Metric",117.075000,-63.415000,180.000000,top
"C7","22u","C_0805_2012Metric",111.085000,-60.645000,90.000000,top
"C8","100n","C_0402_1005Metric",117.045000,-58.265000,0.000000,top
"C9","2.2u","C_0402_1005Metric",105.625000,-64.005000,180.000000,top
"C10","2.2u","C_0402_1005Metric",103.665000,-64.005000,0.000000,top
"C11","2.2u","C_0402_1005Metric",107.470000,-60.905000,90.000000,top
"C12","2.2u","C_0402_1005Metric",99.585000,-61.000000,-90.000000,top
"C13","2.2u","C_0402_1005Metric",95.135000,-61.000000,90.000000,top
"C14","22u","C_0805_2012Metric",123.625000,-52.105000,0.000000,top
"J1","Conn_01x06_Pin","JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical",87.775000,-70.075000,180.000000,top
"J2","Conn_01x06_Pin","JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical",88.225000,-52.775000,0.000000,top
"J3","Conn_01x06_Pin","JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical",57.475000,-69.975000,180.000000,top
"J4","Conn_01x06_Pin","JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical",72.675000,-69.725000,180.000000,top
"J5","Conn_01x06_Pin","JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical",73.375000,-52.375000,0.000000,top
"J6","USB_C_Receptacle_USB2.0","USB-C",52.640000,-61.000000,-90.000000,top
"J7","Conn_01x06_Pin","JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical",57.925000,-52.375000,0.000000,top
"J8","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",70.000000,-61.000000,90.000000,top
"J9","Conn_01x06_Pin","JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical",103.295000,-52.755000,0.000000,top
"L1","2.2uH","L_1008_2520Metric",113.565000,-60.755000,90.000000,top
"R1","10K","R_0402_1005Metric",85.215000,-61.295000,-90.000000,top
"R2","5.1K","R_0402_1005Metric",59.815000,-64.015000,90.000000,top
"R3","5.1K","R_0402_1005Metric",59.805000,-58.965000,-90.000000,top
"R4","10K","R_0402_1005Metric",127.145000,-54.925000,180.000000,top
"R5","10K","R_0402_1005Metric",127.075000,-67.695000,180.000000,top
"R6","40.2K","R_0402_1005Metric",120.565000,-60.595000,180.000000,top
"R7","13K","R_0402_1005Metric",120.560000,-62.640000,0.000000,top
"R8","75K","R_0402_1005Metric",120.565000,-61.615000,0.000000,top
"SW1","SW_Push","TSA343G0",80.765000,-61.000000,90.000000,top
"SW2","SW_Push","TSA343G0",89.455000,-61.000000,90.000000,top
"U1","TD8102","SOT-23-6",117.285000,-60.635000,0.000000,top
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",140.050000,-60.740000,-90.000000,top
"U3","TPS60400DBVR","SOT-23-5",105.145000,-61.000000,90.000000,top
"U5","HX6206P252MR","SOT-23-3",97.375000,-61.000000,-90.000000,top
"Y1","Crystal","Crystal_SMD_3215-2Pin_3.2x1.5mm",126.985000,-59.025000,-90.000000,top
